Designation	Obsid	RA	DEC	S/N(g)	Subclass	Source
J062407.76+264155.1	1902031	96.03234	26.698665	64.53	A2	Hümmerich et al. (2020)
J062307.91+264642.0	1902033	95.782966	26.778336	69.01	A2	Hümmerich et al. (2020)
J020421.09+582117.2	2403088	31.0879	58.3548	59.39	A1	Shi et al. (2023)
J020637.65+583606.8	2403170	31.6569	58.6019	68.35	A2	Shang et al. (2022)
J015958.89+585420.1	2414054	29.9954	58.9056	65.87	F0	Shi et al. (2023)
J015446.68+584637.5	2414230	28.6945	58.7771	59.62	A2	Shang et al. (2022)
J015713.72+594738.7	2416019	29.3072	59.7941	58.3	A2	Shi et al. (2023)
J063626.68+295739.5	2614128	99.111191	29.960979	56.98	A5	Shang et al. (2022)
J030709.75+535142.4	4116106	46.7906384	53.8618022	193.67	A2	Hümmerich et al. (2020)
J024406.53+534103.3	5004128	41.027232	53.684267	52.26	A2	Shang et al. (2022)
J023335.11+530446.3	5010036	38.396324	53.079551	119.8	A2	Hümmerich et al. (2020)
J024549.44+560453.8	5011191	41.456005	56.081629	90.74	A7	Shang et al. (2022)
J024356.00+535924.8	5104181	40.983349	53.990244	212.91	A1	Shang et al. (2022)
J025114.65+530215.2	5108101	42.811048	53.037575	70.07	A7	Shang et al. (2022)
J032939.33+060540.8	8312154	52.4138966	6.094693	302.66	A1	Hümmerich et al. (2020)
J091053.90+285032.6	8811202	137.7245978	28.842394	85.99	A7	Shang et al. (2022)
J035035.28+513819.4	11209081	57.647007	51.638734	62.02	A5	Shang et al. (2022)
J033546.83+512723.7	11214004	53.945133	51.456596	110.56	A1	Hümmerich et al. (2020)
J034114.89+483916.7	15002137	55.312061	48.65464	118.19	A2	Hümmerich et al. (2020)
J033637.91+491703.0	15010033	54.157987	49.284194	78.82	A2	Shang et al. (2022)
J033222.17+501250.6	15010139	53.092382	50.214059	61.74	A2	Shang et al. (2022)
J033831.76+513357.1	15016079	54.632343	51.565887	86.54	A1	Shi et al. (2023)
J034247.83+515853.3	15016105	55.699326	51.981473	63.67	A1	Shi et al. (2023)
J034614.11+514056.0	15115216	56.559688	51.682389	50.55	A2	Shang et al. (2022)
J020813.73+564115.9	15302015	32.057232	56.687759	51.71	A1	Shang et al. (2022)
J020403.88+564523.7	15302150	31.0162	56.7566	70.83	F0	Yang et al. (2024)
J020427.40+583513.5	15303061	31.1142	58.5871	60.82	A2	Shi et al. (2023)
J021142.21+583159.0	15304172	32.9258963	58.5330664	61.94	A2	Shang et al. (2022)
J021717.61+565859.8	15307038	34.3234	56.9833	78.76	A2	Shang et al. (2022)
J020058.06+591358.9	15314158	30.2419357	59.2330466	65.58	A2	Shang et al. (2022)
J052116.00+293157.5	15503148	80.316694	29.532661	62.8	A1	Shang et al. (2022)
J052753.31+293553.2	15509035	81.972142	29.598127	76.96	A2	Yang et al. (2024)
J092615.52+280323.0	15913129	141.563306	28.056412	134.08	A2	Shi et al. (2023)
J091053.71+285032.6	15916196	137.723805	28.842394	90.54	A7	Shi et al. (2023)
J030534.47+501457.6	16102024	46.393644	50.249352	121.08	A6	Lu et al. (2025)
J080130.69+132318.1	18202101	120.3778791	13.3883694	99.41	A5	Hümmerich et al. (2020)
J024853.65+515427.6	19901177	42.223565	51.907693	86.85	A7	Shang et al. (2022)
J025724.96+530044.3	19906207	44.354002	53.012309	104.21	A2	Shi et al. (2023)
J023129.31+542243.7	19914042	37.872161	54.378819	52.51	A6	Shang et al. (2022)
J081330.78+040630.6	21215157	123.3782833	4.1085111	164.63	A1	Hümmerich et al. (2020)
J055534.69+294438.9	21415188	88.894546	29.744149	51.45	A2	Shang et al. (2022)
J023029.43+541526.2	25410134	37.622625	54.257304	74	A2	Shi et al. (2023)
J034257.81+523015.1	26016244	55.7408895	52.5042114	78.47	A2	Shi et al. (2023)
J105734.90+260846.0	26105226	164.395437	26.14612	282.91	A2	Hümmerich et al. (2020)
J032413.45+525937.5	26613120	51.056053	52.993774	126.29	A3	Hümmerich et al. (2020)
J032111.38+530600.5	26613154	50.297433	53.100154	154.44	A3	Hümmerich et al. (2020)
J040642.34+454640.8	26905143	61.676433	45.778015	349.44	A2	Renson & Manfroid (2009)
J040845.42+461903.7	26908165	62.189255	46.317709	66.89	A1	Shang et al. (2022)
J044713.47+540515.5	27011065	71.806144	54.087661	440.23	F0	Hümmerich et al. (2020)
J045857.42+525653.7	27013021	74.739281	52.948254	96.31	A2	Shang et al. (2022)
J043814.40+542341.7	27016229	69.560002	54.394927	61.72	A3	Shi et al. (2023)
J055922.96+315147.4	27105085	89.845701	31.863171	113.71	A2	Shang et al. (2022)
J061001.31+325315.5	27106146	92.505476	32.887661	126.89	A1	Renson & Manfroid (2009)
J055218.79+331852.7	27114055	88.078319	33.314654	226.96	A1	Hümmerich et al. (2020)
J060719.04+323439.5	27206242	91.829343	32.577641	73.01	A5	Shang et al. (2022)
J055258.51+341523.9	27216092	88.243793	34.25666	432.11	A2	Shi et al. (2023)
J065302.82+121041.1	27303068	103.26176	12.178096	258.24	A1	Shang et al. (2022)
J065049.03+105959.6	27310029	102.70431	10.999911	82.03	A1	Shi et al. (2023)
J064935.95+124041.1	27314140	102.39983	12.678096	78.99	A1	Shang et al. (2022)
J122855.36+255446.3	27701139	187.227936	25.91287	176.89	A1	Renson & Manfroid (2009)
J044542.19+414052.9	27909199	71.425807	41.681381	96.79	A3	Shang et al. (2022)
J043813.34+424250.0	27911014	69.555621	42.713905	54.66	A1	Shang et al. (2022)
J044854.96+413917.5	27913107	72.229041	41.654873	117.92	A2	Shang et al. (2022)
J043111.72+393229.4	28002185	67.798872	39.541523	93.61	A2	Shang et al. (2022)
J043846.46+411724.2	28004042	69.693596	41.290066	96.86	A7	Shang et al. (2022)
J044002.28+400610.1	28005159	70.009522	40.102825	80.89	A2	Shang et al. (2022)
J044826.81+404211.9	28006047	72.111729	40.703308	218.7	A1	Shi et al. (2023)
J044511.49+405918.8	28009015	71.297886	40.988583	65.48	A1	Shang et al. (2022)
J064748.51+160757.8	28107057	101.95216	16.132748	195.06	A1	Hümmerich et al. (2020)
J064055.32+172735.3	28204200	100.23053	17.459833	103.05	F0	Yang et al. (2024)
J064358.14+192242.2	28211074	100.99226	19.378412	67.16	A1	Shang et al. (2022)
J063351.27+184418.9	28214023	98.463637	18.738586	321.55	A1	Hümmerich et al. (2020)
J063805.24+195355.8	28216238	99.52187	19.898834	97.83	A7	Shang et al. (2022)
J040258.12+461910.1	28703007	60.7422	46.319474	71.14	A3	Shi et al. (2023)
J040023.62+462840.7	28703048	60.098421	46.477997	358.18	A2	Hümmerich et al. (2020)
J040245.51+485337.9	28711020	60.689664	48.893871	61.2	A1	Hümmerich et al. (2020)
J035511.43+470050.3	28714179	58.797637	47.013995	73.17	A1	Shang et al. (2022)
J040427.19+474536.5	28715197	61.113331	47.760147	66.84	A2	Shi et al. (2023)
J040054.22+455310.4	28805240	60.225939	45.886242	51.6	A2	Shi et al. (2023)
J040452.41+484841.1	28811176	61.218409	48.811435	56.37	A5	Hümmerich et al. (2020)
J035432.82+472105.1	28814214	58.63678	47.351433	58.61	A1	Shi et al. (2023)
J065755.85+125952.8	29015129	104.48272	12.998015	159.49	A1	Shang et al. (2022)
J065404.60+113509.5	29103047	103.51918	11.585982	548.02	A1	Shang et al. (2022)
J065924.90+114744.7	29104227	104.85378	11.795777	67.11	A1	Yang et al. (2024)
J064959.12+125329.4	29114003	102.49637	12.891512	291.75	A1	Hümmerich et al. (2020)
J065415.12+125411.3	29115082	103.56301	12.903158	111.44	A1	Yang et al. (2024)
J065444.94+135455.5	29116149	103.68729	13.915432	177.5	A1	Hümmerich et al. (2020)
J043957.17+503355.9	29602059	69.988227	50.56554	86.6	A2	Shi et al. (2023)
J044846.65+530731.7	29609169	72.194383	53.125496	202.62	A1	Shang et al. (2022)
J044926.00+532923.5	29709068	72.358358	53.489871	73.87	A2	Yang et al. (2024)
J045311.65+525836.4	29709189	73.298546	52.976805	84.67	A1	Shang et al. (2022)
J045231.56+521715.1	29709236	73.131518	52.287537	193.04	A5	Hümmerich et al. (2020)
J043337.59+525003.7	29714163	68.406625	52.834368	72.35	A5	Yang et al. (2024)
J044446.35+533621.2	29715042	71.193151	53.605892	51.52	A1	Lu et al. (2025)
J064954.05+063614.9	29903093	102.47521	6.6041418	60.14	A5	Shi et al. (2023)
J065256.97+062511.6	29904178	103.23739	6.4198967	64.42	A1	Shang et al. (2022)
J065631.02+051047.3	29907041	104.12926	5.1798222	64.41	A2	Shang et al. (2022)
J070105.93+045719.0	29907087	105.274749	4.955284	103.07	A2	Shang et al. (2022)
J065624.57+071640.8	29909163	104.10239	7.2780071	51.07	A3	Shi et al. (2023)
J065420.92+081933.7	29911076	103.58717	8.3260519	51.75	A1	Shang et al. (2022)
J065239.94+090550.1	29911167	103.16642	9.097252	55.49	A2	Shang et al. (2022)
J064529.41+072552.2	29914124	101.37257	7.4311825	212.48	A1	Hümmerich et al. (2020)
J065154.99+080825.0	29915154	102.97915	8.1402796	101.71	A2	Shi et al. (2023)
J064927.82+080217.8	29916184	102.3659475	8.0382794	93	A1	Shang et al. (2022)
J065509.35+044322.6	30001082	103.78896	4.722962	90.96	A2	Shang et al. (2022)
J065137.32+062911.9	30003185	102.90551	6.4866582	77.82	A2	Shi et al. (2023)
J065124.21+072240.1	30003224	102.85088	7.3778248	101.53	A2	Shang et al. (2022)
J065310.66+071446.8	30004033	103.29444	7.2463597	160.83	A1	Hümmerich et al. (2020)
J065400.61+063645.2	30004182	103.50258	6.612556	152.53	A2	Hümmerich et al. (2020)
J065733.83+065745.3	30009009	104.39097	6.9625889	189.08	A7	Shang et al. (2022)
J065714.71+073908.9	30009101	104.31131	7.6524934	121.66	A1	Hümmerich et al. (2020)
J064716.03+054142.0	30010039	101.81683	5.695015	60.68	A5	Yang et al. (2024)
J065317.88+085025.4	30011022	103.32451	8.840414	76.98	A1	Shi et al. (2023)
J070434.59+070255.9	30013035	106.14414	7.0488657	50.65	A1	Shang et al. (2022)
J070047.44+071512.6	30013232	105.19767	7.2535016	75.06	A1	Shi et al. (2023)
J064614.76+072231.1	30014112	101.56154	7.375327	150.86	A1	Hümmerich et al. (2020)
J064704.31+073127.7	30014140	101.76799	7.524367	79.24	A1	Shang et al. (2022)
J064747.91+071929.4	30014225	101.94963	7.3248462	52.02	A2	Yang et al. (2024)
J065016.60+083133.3	30016057	102.5692	8.525924	95.08	A1	Shang et al. (2022)
J064812.61+080855.1	30016087	102.05256	8.1486473	52.71	A1	Shi et al. (2023)
J065205.09+065214.6	30103153	103.02123	6.8707489	123.79	A1	Hümmerich et al. (2020)
J070133.22+061017.5	30106078	105.38843	6.1715375	170.78	A1	Hümmerich et al. (2020)
J065953.07+061651.2	30108064	104.97114	6.2808965	58.93	A2	Shi et al. (2023)
J065629.15+074030.5	30109116	104.12146	7.675139	244.13	A2	Hümmerich et al. (2020)
J070337.20+064533.5	30113058	105.905	6.7593303	135.07	A1	Hümmerich et al. (2020)
J064741.02+072458.8	30114216	101.92094	7.4163444	149.43	A1	Hümmerich et al. (2020)
J014525.85+311349.2	30209070	26.357738	31.230356	63.37	A2	Shi et al. (2023)
J034004.96+442037.8	34202016	55.020684	44.343851	53.79	A1	Shi et al. (2023)
J034000.57+444858.4	34205214	55.002413	44.816231	300.48	A2	Renson & Manfroid (2009)
J034108.89+435436.0	34301239	55.287083	43.910004	68.07	A7	Shang et al. (2022)
J034828.34+460128.5	34308034	57.118101	46.024599	111.8	A1	Hümmerich et al. (2020)
J034632.02+450932.5	34308197	56.633452	45.159035	66.51	A2	Yang et al. (2024)
J034806.49+463445.6	34309216	57.027077	46.579352	64.73	A2	Shang et al. (2022)
J034603.80+483502.2	34311223	56.515858	48.583965	57.93	A5	Yang et al. (2024)
J034458.31+464848.7	34315109	56.24296	46.813537	198.95	A1	Hümmerich et al. (2020)
J055049.90+093136.5	34402218	87.707926	9.5268123	61.33	A1	Shang et al. (2022)
J055629.24+120153.3	34404050	89.121872	12.031483	220.09	A2	Hümmerich et al. (2020)
J060510.12+110636.6	34406136	91.292184	11.110185	53.64	A5	Yang et al. (2024)
J060040.60+100410.1	34407123	90.169188	10.069493	208.16	A2	Hümmerich et al. (2020)
J054732.61+121608.0	34414119	86.885915	12.26891	109.31	A2	Hümmerich et al. (2020)
J055507.06+121347.0	34415235	88.779427	12.229733	259.74	A2	Hümmerich et al. (2020)
J065952.57+055324.0	34806239	104.96908	5.8900124	63.16	A5	Yang et al. (2024)
J065749.94+075719.6	34809055	104.45811	7.9554524	118.29	A2	Yang et al. (2024)
J064546.78+075101.3	34814016	101.44494	7.8503764	84.91	A2	Lu et al. (2025)
J062158.40+282508.1	36209055	95.49337	28.418941	231.32	A7	Shang et al. (2022)
J061005.04+271200.8	36210022	92.521039	27.200249	98.7	A1	Shang et al. (2022)
J062126.32+291448.7	36211108	95.359707	29.246876	279.63	A2	Shi et al. (2023)
J061213.77+274735.8	36214164	93.057401	27.793283	77.98	A2	Yang et al. (2024)
J062020.91+252606.8	36301103	95.087152	25.435246	170.98	A2	Hümmerich et al. (2020)
J061101.05+264328.4	36310063	92.754379	26.724562	76.29	A3	Shang et al. (2022)
J062134.96+292444.7	36311035	95.395705	29.412417	73.31	A2	Lu et al. (2025)
J061027.62+272337.8	36314072	92.615122	27.393845	183.66	A2	Shang et al. (2022)
J060737.83+273524.4	36314244	91.907625	27.590128	65.13	A1	Shang et al. (2022)
J061342.52+263829.6	36403028	93.427188	26.641575	101.95	A1	Hümmerich et al. (2020)
J061817.58+265109.6	36404083	94.573253	26.852688	121.24	A2	Hümmerich et al. (2020)
J061609.41+265703.0	36404177	94.039248	26.950858	65.35	A1	Shi et al. (2023)
J044108.28+481631.3	36815232	70.28453	48.275372	97.42	A2	Hümmerich et al. (2020)
J043521.85+462246.7	36910050	68.841062	46.379662	104.17	A2	Shi et al. (2023)
J044253.81+492128.1	36911009	70.724239	49.357815	54.28	A2	Shang et al. (2022)
J064012.77+082519.3	37002029	100.05323	8.4220479	251.86	A2	Hümmerich et al. (2020)
J064617.26+082858.8	37005017	101.57194	8.483018	153.22	A2	Hümmerich et al. (2020)
J065309.66+083557.1	37006221	103.29028	8.599215	88.4	A2	Shang et al. (2022)
J064317.99+101010.2	37103134	100.82496	10.169527	728.88	A2	Shang et al. (2022)
J064323.68+095437.4	37104159	100.8487	9.910415	80.64	A1	Shi et al. (2023)
J064126.16+111922.8	37116153	100.359	11.323019	86.51	A2	Yang et al. (2024)
J041625.37+395526.1	37501043	64.105748	39.92393	55.64	A5	Yang et al. (2024)
J041702.06+402132.7	37501164	64.258598	40.359089	98.96	A2	Shi et al. (2023)
J041744.73+403036.1	37501175	64.436378	40.510044	88.7	A1	Hümmerich et al. (2020)
J042235.95+411448.9	37508110	65.649796	41.246933	66.45	F0	Hümmerich et al. (2020)
J040728.92+415903.9	37510024	61.870517	41.984444	110.64	A2	Hümmerich et al. (2020)
J041959.35+442203.7	37511116	64.997318	44.367706	67.88	A2	Yang et al. (2024)
J041800.71+440657.0	37511189	64.502964	44.115854	103.67	A1	Shang et al. (2022)
J041104.32+434706.1	37516198	62.76804	43.785052	66.93	A1	Shang et al. (2022)
J042200.91+402507.7	37607005	65.503808	40.418822	156.92	A1	Hümmerich et al. (2020)
J042113.88+441145.3	37611109	65.307858	44.195923	135.11	A2	Hümmerich et al. (2020)
J042748.14+422213.9	37613203	66.950603	42.370544	343.91	A2	Shang et al. (2022)
J040506.71+423800.8	37714248	61.277997	42.633575	68.37	A1	Shi et al. (2023)
J063857.91+133031.1	37803119	99.741307	13.508661	80	A1	Shang et al. (2022)
J064302.03+132254.0	37804008	100.75849	13.381687	411.91	A1	Shi et al. (2023)
J063457.98+141111.9	37814017	98.74159	14.18665	51.9	A2	Shi et al. (2023)
J064057.08+142512.7	37815174	100.23786	14.42021	57.42	A1	Yang et al. (2024)
J064146.23+125058.1	37904189	100.44263	12.849491	66.24	A1	Shi et al. (2023)
J064844.97+131201.5	37908080	102.18739	13.20042	103.81	A2	Shi et al. (2023)
J064544.04+134915.8	37909156	101.43353	13.821073	81.12	A2	Shang et al. (2022)
J040508.94+484944.7	38401163	61.287277	48.829086	258.6	A2	Hümmerich et al. (2020)
J041022.82+494828.4	38408248	62.595084	49.807891	85.51	A2	Shang et al. (2022)
J041530.27+511305.8	38413152	63.876146	51.218285	105.6	A1	Hümmerich et al. (2020)
J041507.49+510621.7	38413172	63.781211	51.106028	96.06	A1	Shang et al. (2022)
J041659.05+505704.7	38413248	64.246055	50.95132	80.19	A1	Shang et al. (2022)
J035100.36+502812.5	38414050	57.751531	50.47015	68.54	F0	Shang et al. (2022)
J035602.26+515453.2	38416223	59.009435	51.914799	53.26	A5	Shi et al. (2023)
J041043.97+505730.3	38509170	62.683241	50.958444	78.28	A5	Shi et al. (2023)
J035524.35+494525.0	38510075	58.851465	49.756957	57.98	A2	Shang et al. (2022)
J041108.93+521010.8	38512127	62.787215	52.169675	121.2	A2	Shang et al. (2022)
J065200.81+121952.8	38703109	103.00339	12.33134	312.48	A5	Hümmerich et al. (2020)
J065826.56+123931.9	38715106	104.61068	12.658882	166	A2	Shang et al. (2022)
J045109.07+433556.5	39103009	72.787831	43.599036	187.63	A2	Hümmerich et al. (2020)
J045939.31+425419.1	39108122	74.913823	42.905327	226.49	A2	Shi et al. (2023)
J044507.20+432450.1	39110075	71.280029	43.413939	66.49	A2	Shi et al. (2023)
J044531.93+434003.8	39110246	71.383067	43.667743	65.37	A2	Shang et al. (2022)
J044655.11+445553.4	39114086	71.729648	44.931522	86.94	A7	Shang et al. (2022)
J044219.93+443401.7	39114120	70.583075	44.567144	76.97	A1	Shang et al. (2022)
J045611.05+441446.2	39204072	74.046049	44.246192	62.06	A1	Yang et al. (2024)
J050320.42+432802.5	39306226	75.835106	43.467382	66.85	A3	Shi et al. (2023)
J050001.22+430207.3	39308120	75.005095	43.035381	80.79	A2	Shang et al. (2022)
J044605.51+435343.9	39310248	71.522992	43.89555	81.69	A3	Shi et al. (2023)
J064628.76+150619.4	39412127	101.61985	15.105413	270.98	A2	Hümmerich et al. (2020)
J065012.81+134136.5	39413243	102.5534	13.693482	74.98	A1	Shang et al. (2022)
J043111.89+393230.0	39902185	67.799568	39.541667	59.69	A2	Shang et al. (2022)
J044003.25+403702.1	39904180	70.013567	40.617268	78.95	A1	Shang et al. (2022)
J044411.38+410532.1	39909221	71.047425	41.092271	65.53	A1	Shang et al. (2022)
J045220.67+405034.9	39913075	73.086164	40.843029	139.31	A2	Hümmerich et al. (2020)
J045024.25+412411.3	39913129	72.601055	41.403155	58.08	A1	Shang et al. (2022)
J043849.38+412049.7	40004046	69.705759	41.347145	61.3	A1	Shang et al. (2022)
J045131.08+395823.5	40006166	72.879504	39.973221	102.23	A1	Hümmerich et al. (2020)
J044336.75+400733.9	40008001	70.903145	40.126102	87.98	A1	Shi et al. (2023)
J044553.43+401723.3	40008055	71.472631	40.289831	108.7	A1	Yang et al. (2024)
J044438.43+410114.9	40009003	71.160141	41.020809	196.36	A2	Shang et al. (2022)
J043111.97+414409.5	40014141	67.799875	41.735998	64.59	A2	Shi et al. (2023)
J065414.97+083323.6	40107143	103.5624	8.5565809	110.87	A2	Shi et al. (2023)
J064737.41+100739.7	40109202	101.90589	10.127721	51.61	A1	Shang et al. (2022)
J063752.90+091516.7	40110057	99.470446	9.254654	186.45	A2	Renson & Manfroid (2009)
J064621.04+105918.9	40115146	101.58768	10.98861	54.6	F0	Shang et al. (2022)
J051104.35+380901.1	40514140	77.768146	38.150333	155.03	A1	Yang et al. (2024)
J051316.11+380133.9	40514165	78.317155	38.026111	117.46	A2	Shang et al. (2022)
J053244.09+405132.0	42603224	83.183724	40.858889	288.57	A1	Shi et al. (2023)
J053233.44+404645.7	42603225	83.139371	40.779365	74.83	A2	Shang et al. (2022)
J054358.79+383237.6	42607072	85.99498	38.543794	112.03	A1	Shi et al. (2023)
J054613.28+402902.7	42613211	86.555371	40.484103	54.37	A1	Bernhard et al. (2021)
J052859.67+403028.4	42614064	82.24864	40.50789	52.07	A5	Lu et al. (2025)
J053056.77+382731.6	42702148	82.736546	38.458801	334.47	A2	Shi et al. (2023)
J053052.64+383121.6	42702245	82.719334	38.522673	96.79	A1	Shi et al. (2023)
J053619.05+394757.9	42704134	84.07939	39.799425	67.38	A1	Shi et al. (2023)
J054450.44+382142.3	42707087	86.210187	38.36175	110.52	A5	Shang et al. (2022)
J054353.01+382112.7	42707222	85.97091	38.353543	143.94	A2	Shi et al. (2023)
J052811.99+415006.4	42716203	82.049962	41.835136	235.2	A2	Renson & Manfroid (2009)
J063823.52+021917.6	42801218	99.598016	2.321583	56.03	A6	Yang et al. (2024)
J063419.94+052022.8	42803107	98.583116	5.339691	99.16	A2	Shang et al. (2022)
J063116.83+043725.9	42810023	97.820155	4.623866	667.14	A1	Renson & Manfroid (2009)
J063014.96+042636.4	42810144	97.562347	4.44347	263.16	A5	Gaia Collaboration et al. (2016, 2023)
J064452.82+055428.4	42812154	101.22009	5.907912	128.89	A1	Hümmerich et al. (2020)
J064637.54+051612.6	42813135	101.65643	5.270194	101.53	A1	Shi et al. (2023)
J063825.84+054729.6	42815023	99.607681	5.7915629	50.76	A7	Shi et al. (2023)
J063952.96+052439.2	42815103	99.97068	5.4109159	56.65	A1	Shang et al. (2022)
J063603.27+053208.5	42815245	99.013661	5.535716	129.32	A1	Yang et al. (2024)
J063555.54+061753.5	42816110	98.981451	6.2981992	60.89	A1	Shang et al. (2022)
J063546.95+061914.9	42816112	98.945625	6.3208175	137.05	A2	Hümmerich et al. (2020)
J064344.80+025959.6	42907064	100.93668	2.99991	54.7	A1	Shang et al. (2022)
J064240.91+051532.6	42909042	100.67046	5.259059	85.11	A1	Shi et al. (2023)
J063906.40+061732.8	42911233	99.77668	6.2924707	57.57	A1	Shi et al. (2023)
J063133.44+050659.3	42914178	97.889367	5.116487	75.28	A1	Shi et al. (2023)
J063334.12+062403.3	42916187	98.392187	6.4009235	79.85	A1	Shi et al. (2023)
J051336.10+365555.5	43310217	78.400454	36.932109	72.05	A2	Yang et al. (2024)
J051003.60+382125.9	43314023	77.515009	38.357222	93.48	A2	Hümmerich et al. (2020)
J052016.52+351301.6	43401221	80.068853	35.217128	137.74	A2	Hümmerich et al. (2020)
J051711.10+365831.6	43403009	79.296271	36.975468	187.2	A1	Hümmerich et al. (2020)
J051725.85+364904.8	43403014	79.357734	36.818	203.65	A1	Hümmerich et al. (2020)
J051540.30+370025.0	43403043	78.917941	37.006968	198.19	A1	Hümmerich et al. (2020)
J051732.28+375907.9	43403131	79.384534	37.985543	82.71	A2	Shang et al. (2022)
J052454.90+370932.6	43408244	81.228771	37.159075	117.87	A2	Hümmerich et al. (2020)
J051109.06+370211.1	43410010	77.787752	37.036439	160.17	F0	Shang et al. (2022)
J051148.38+382233.2	43414138	77.95162	38.375914	105.4	A1	Shang et al. (2022)
J051816.22+380429.4	43415239	79.567623	38.074858	160.43	A1	Hümmerich et al. (2020)
J051128.95+384852.5	43416217	77.870654	38.814607	56.87	A2	Shang et al. (2022)
J064358.69+160630.3	43807041	100.99456	16.108427	70.04	A1	Shi et al. (2023)
J064248.31+184951.8	43815144	100.70132	18.831067	67.82	A2	Shi et al. (2023)
J064127.83+182821.1	43815197	100.36597	18.472539	84.95	A2	Shang et al. (2022)
J064251.28+050741.2	44309148	100.7137	5.128121	212.75	A1	Shi et al. (2023)
J063148.30+040804.2	44310068	97.951282	4.13451	75.12	A5	Yang et al. (2024)
J064013.40+061645.0	44311064	100.05587	6.2791767	126.58	A1	Hümmerich et al. (2020)
J064637.59+051616.2	44313135	101.65664	5.271172	109.9	A2	Hümmerich et al. (2020)
J063226.35+044536.9	44314056	98.109793	4.760255	110.32	A1	Shang et al. (2022)
J063600.51+042016.4	44403023	99.002154	4.3379141	87.19	A2	Yang et al. (2024)
J064511.33+035210.9	44406024	101.29723	3.869705	157.39	A5	Hümmerich et al. (2020)
J064121.92+065416.6	44411034	100.34134	6.904616	56.61	A2	Shang et al. (2022)
J064031.63+062210.6	44411059	100.1318	6.369614	59.56	A2	Yang et al. (2024)
J064606.92+055254.6	44412220	101.52886	5.881835	96.75	A1	Shang et al. (2022)
J063708.88+054224.9	44415011	99.287007	5.706939	59.18	A1	Shang et al. (2022)
J063218.45+032146.3	44502037	98.076883	3.362882	196.15	A2	Renson & Manfroid (2009)
J063035.66+035246.6	44510188	97.648591	3.879634	233.37	A1	Renson & Manfroid (2009)
J064356.64+063913.3	44512048	100.98601	6.6537221	56.96	A1	Shang et al. (2022)
J062345.15+202530.3	44903067	95.938139	20.425106	141.65	A5	Shang et al. (2022)
J063114.46+184731.8	44908213	97.810257	18.792189	157.83	A3	Hümmerich et al. (2020)
J061942.01+194813.0	44910125	94.925046	19.803614	162.48	A2	Shi et al. (2023)
J063840.63+203356.7	44913033	99.6693	20.565756	141.82	A1	Shi et al. (2023)
J062418.35+215742.5	44916075	96.07647	21.961816	66.47	A1	Shang et al. (2022)
J132426.36+303320.6	45010013	201.1098389	30.5539412	145.02	A7	Renson & Manfroid (2009)
J063800.46+310256.5	45107154	99.501922	31.049034	192.36	A1	Hümmerich et al. (2020)
J063640.63+315450.6	45108191	99.169306	31.914068	241.97	A2	Hümmerich et al. (2020)
J063634.59+324139.4	45108230	99.144151	32.694304	79.32	A5	Shang et al. (2022)
J063228.45+344456.3	45111090	98.118564	34.748981	72.5	A1	Shang et al. (2022)
J065235.08+423717.7	45313073	103.14619	42.621588	77.62	A2	Yang et al. (2024)
J065423.08+270332.4	46108088	103.59618	27.059023	73.6	A7	Shang et al. (2022)
J065623.57+281013.1	46113165	104.09822	28.170319	102.27	F0	Hümmerich et al. (2020)
J064039.28+264137.2	46210055	100.16368	26.693689	187.61	A1	Hümmerich et al. (2020)
J072622.78+045215.5	46601032	111.59492	4.870976	86.93	A2	Shang et al. (2022)
J072535.30+072629.1	46603149	111.39709	7.441436	130.47	A3	Shang et al. (2022)
J073421.14+082101.2	46612020	113.58811	8.350352	56.25	A1	Shang et al. (2022)
J072612.34+052602.9	46702056	111.55143	5.434159	227.35	A2	Renson & Manfroid (2009)
J073102.16+070734.5	46709007	112.75902	7.126251	103.44	A5	Hümmerich et al. (2020)
J082331.87+491533.9	48910012	125.88282	49.259422	245.88	A1	Shi et al. (2023)
J191837.96+394726.4	52403122	289.658208	39.790667	254.17	A1	Hümmerich et al. (2020)
J192929.16+391317.6	52408044	292.3715	39.221556	522.29	A6	Shang et al. (2022)
J192630.16+380251.9	52408193	291.625708	38.04775	78.2	A2	Shang et al. (2022)
J191608.95+390024.9	52410229	289.037292	39.006944	154.98	A5	Shang et al. (2022)
J192605.29+405954.9	52411055	291.522063	40.998603	145.07	A1	Shang et al. (2022)
J191430.53+402714.1	52416023	288.626583	40.454639	659.86	A1	Hümmerich et al. (2020)
J192128.18+370955.2	52501035	290.367446	37.165347	85.48	A5	Shang et al. (2022)
J192313.41+372224.2	52501167	290.8058892	37.373393	280.47	A1	Shang et al. (2022)
J192755.20+371032.0	52507170	291.9800264	37.1755833	68.58	A5	Shang et al. (2022)
J191825.72+395557.0	52515066	289.607167	39.9325	64.09	A2	Shang et al. (2022)
J194154.63+380153.3	52907248	295.477633	38.031486	187.21	A1	Shi et al. (2023)
J193908.61+391608.7	52908192	294.7859015	39.2690846	93	A5	Shang et al. (2022)
J010007.84+045339.3	55111157	15.03269	4.89427	293.23	A1	Renson & Manfroid (2009)
J031244.57+113233.7	56307066	48.18571	11.54272	153.41	A1	Hümmerich et al. (2020)
J213940.97-044004.9	56411162	324.92072	-4.66805	143.45	A2	Hümmerich et al. (2020)
J231412.30+232336.9	57503106	348.551271	23.393598	162.14	A2	Hümmerich et al. (2020)
