Designation	Obsid	RA	DEC	S/N(g)	Subclass	Source
J042117.91+455656.2	364016097	65.324651	45.948971	67.55	A1	Shi et al. (2023)
J200814.38+464916.2	364212165	302.059925	46.821183	444.21	A1	Hümmerich et al. (2020)
J195314.26+445712.4	364305189	298.30945	44.953461	117.27	A1	Hümmerich et al. (2020)
J195506.34+442900.6	364305215	298.77643	44.483521	267.77	A5	Shi et al. (2023)
J200544.86+434645.9	364307226	301.436917	43.779425	194.78	A1	Hümmerich et al. (2020)
J200401.73+473558.8	364312055	301.007237	47.599683	83.87	A1	Shi et al. (2023)
J195524.77+470458.0	364315152	298.85324	47.08279	119.12	A5	Shang et al. (2022)
J001122.56+213338.2	364516082	2.844015	21.560612	176.44	F0	Shang et al. (2022)
J045638.42+423010.0	364901130	74.160086	42.502779	58.19	A1	Shi et al. (2023)
J044803.56+435225.7	364903089	72.014834	43.873815	73.96	A1	Shi et al. (2023)
J044705.22+442052.3	364903106	71.771786	44.347882	68.62	A1	Shang et al. (2022)
J045051.13+440441.0	364903166	72.713078	44.078071	79.61	A1	Shang et al. (2022)
J045055.53+430155.9	364905226	72.731375	43.032221	63.65	A1	Shi et al. (2023)
J045633.21+432151.5	364908155	74.138404	43.364322	56.08	A1	Shang et al. (2022)
J220052.34+411659.6	365411182	330.2181	41.283226	139.1	A2	Hümmerich et al. (2020)
J220233.23+400005.1	365515116	330.63849	40.001431	299.24	A7	Yang et al. (2024)
J185444.61+482024.7	365812135	283.68591	48.34021	61.45	A5	Shang et al. (2022)
J195144.98+413415.8	367704240	297.93744	41.571072	100.48	A1	Shi et al. (2023)
J195251.15+403621.4	367708102	298.21283	40.605961	233.23	A2	Hümmerich et al. (2020)
J195344.32+414104.1	367809021	298.4346778	41.6844787	550.34	A1	Hümmerich et al. (2020)
J195322.96+425001.1	367809051	298.345671	42.833661	69.29	A7	Shang et al. (2022)
J194611.22+391333.3	367901250	296.5467882	39.225942	282.1	A3	Hümmerich et al. (2020)
J194426.68+404628.5	367905188	296.110712	40.774739	353.18	F0	Shang et al. (2022)
J192943.76+422930.6	369006034	292.43237	42.491859	91.54	A1	Shi et al. (2023)
J192849.26+413551.7	369106013	292.20544	41.59729	394.02	A1	Shi et al. (2023)
J192151.34+450655.3	369111209	290.4639457	45.1153752	203.01	A2	Hümmerich et al. (2020)
J071954.41+051936.0	369601095	109.9767344	5.3266786	137.31	A1	Hümmerich et al. (2020)
J071324.57+053933.8	369602036	108.3523828	5.6594006	221.78	A1	Shi et al. (2023)
J071113.33+055418.0	369602168	107.8055772	5.9050156	188.53	A1	Hümmerich et al. (2020)
J071535.85+054343.4	369602248	108.89957	5.72843861	236.7	A1	Hümmerich et al. (2020)
J071518.37+073007.7	369603056	108.82658	7.5021392	82.88	F0	Yang et al. (2024)
J071434.25+064339.7	369603240	108.642725	6.7277089	85.51	A2	Hümmerich et al. (2020)
J071756.31+064850.9	369604179	109.4846356	6.8141533	83.58	A6	Shang et al. (2022)
J072318.82+082617.7	369609059	110.8284167	8.4382744	64.91	A7	Hümmerich et al. (2020)
J072535.29+072629.2	369609128	111.397079	7.44145	202.14	A3	Hümmerich et al. (2020)
J071958.04+084727.9	369611245	109.9918431	8.79111	87.8	A1	Hümmerich et al. (2020)
J192630.17+380251.8	369808193	291.62573	38.047741	107.28	A1	Hümmerich et al. (2020)
J205833.03+014019.0	370210220	314.6376261	1.6719497	101.3	A7	Shang et al. (2022)
J061913.90+185953.3	370606185	94.807932	18.998161	107.96	A1	Hümmerich et al. (2020)
J061845.15+190925.3	370606241	94.68813	19.157049	110.04	A1	Hümmerich et al. (2020)
J061600.12+205214.4	370609063	94.000502	20.870692	74.32	A1	Shi et al. (2023)
J061746.18+211253.2	370612019	94.442421	21.214802	51.96	A1	Shang et al. (2022)
J060523.04+213337.4	370616032	91.346009	21.560396	80.98	A1	Shi et al. (2023)
J001521.75+472055.2	370709059	3.840641	47.348687	165.77	F0	Yang et al. (2024)
J235740.51+470001.7	370714018	359.417795	47.00066	316.33	A2	Renson & Manfroid (2009)
J001137.65+473203.2	370715035	2.907211	47.534099	171.83	A2	Hümmerich et al. (2020)
J211459.99+284325.1	370802096	318.749994	28.723648	67.02	F0	Shang et al. (2022)
J212911.89+294643.3	370806090	322.299552	29.778719	73.25	A1	Lu et al. (2025)
J212534.12+291845.9	370808102	321.3921708	29.3127746	81.06	A2	Shi et al. (2023)
J212707.61+302650.2	370809015	321.781747	30.447287	81.01	A2	Shang et al. (2022)
J212443.39+314411.4	370815034	321.180792	31.736526	56.41	A1	Shi et al. (2023)
J225305.36+315027.5	370910005	343.2723739	31.8409856	73.91	A6	Yang et al. (2024)
J060820.34+005411.7	371501031	92.0847672	0.9032658	82.62	A1	Hümmerich et al. (2020)
J060343.72+013555.5	371502180	90.9322061	1.5987692	86.43	A1	Hümmerich et al. (2020)
